	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X25x6	0.10494988	0.027439311	0.030353837	0.053818904	1.8391967e-11	0.060801726	0.068760075	0.041954264	0.025584929	1.8437451e-11	1.8438013e-11	0.039160028	0.21726882	0.0870354	0.24287282
X25x7	0.15920608	0.044118267	2.148358e-11	0.06932514	0.009715779	0.06991676	0.058047645	2.1470757e-11	0.09770963	2.1335064e-11	2.1400682e-11	0.029866949	0.12255892	0.12078975	0.21874511
X25x8	0.25494313	1.7581239e-11	0.11215743	0.06716232	0.014141742	0.022201378	0.107092075	1.7500909e-11	0.014026267	1.7627946e-11	0.0117943715	1.7593484e-11	1.7593751e-11	0.14637429	0.250107
X25x9	0.05514531	0.01934678	0.023611875	9.014789e-12	9.058653e-12	0.0035730111	0.40113872	0.32110456	0.014341214	0.019125136	0.0014044592	0.02655748	9.024095e-12	0.04534347	0.06930791
X26x10	0.098307215	0.052946135	0.07109384	0.032873854	1.26533575e-11	0.0063205115	0.042883977	1.2659561e-11	0.03288366	0.034291986	0.017849721	1.2666034e-11	0.19210257	0.11563306	0.3028135
X26x11	0.17964931	0.007419474	0.08646649	0.06613394	1.3247815e-11	0.16618598	0.022755362	1.3322109e-11	0.021603877	1.334767e-11	1.3244026e-11	1.32887625e-11	0.22938459	0.10517213	0.11522899
X26x12	0.018454101	0.016719207	0.07631995	0.07267661	0.08001585	0.2833113	0.17590632	1.1290761e-11	0.029755209	0.0022771417	0.021435633	0.026028378	1.1213541e-11	0.18172869	0.015371561
X26x14	0.30101022	0.0041692387	0.08620951	0.09375775	2.1453997e-11	2.147758e-11	0.14447291	0.061479684	0.0174825	0.018865097	2.1464518e-11	2.1429582e-11	0.11885039	0.1409245	0.0127782505
X26x16	1.0625437e-11	0.016023759	0.07381356	0.09489015	0.015128847	0.11448992	0.02806888	0.03909634	0.10619946	0.14095631	1.070908e-11	0.025634406	1.0665377e-11	0.34569842	1.0603956e-11
X26x17	8.498988e-12	0.007931394	0.21893959	0.108116016	0.005707613	0.1163443	0.06435349	0.03292015	0.056662805	0.009243096	0.033879373	0.057697117	8.484363e-12	0.27535367	0.012851431
X26x18	0.007304762	0.028266083	0.07974162	0.047513895	0.53063357	0.0566092	0.0234969	0.019624474	0.024358029	1.1683366e-11	0.022313695	0.051160302	0.016169861	0.09280762	1.1741921e-11
X26x2	1.4404183e-11	0.015468104	0.09458261	0.13563156	0.037767284	0.13485385	0.029264979	0.033720866	1.44066556e-11	0.056535512	0.042577162	0.009865045	0.06903962	0.06867841	0.27201495
X26x3	0.048587803	1.3909793e-11	0.106382936	0.10138019	1.38326425e-11	0.033690337	0.010532626	1.3889114e-11	0.050292008	1.3941055e-11	0.032843176	1.3863256e-11	0.21451949	0.1340744	0.2676971
X26x4	0.07356787	1.6512501e-11	1.6570238e-11	0.04579994	0.006415244	0.05135776	0.03810821	1.654507e-11	0.04261506	0.0296354	1.65777e-11	0.026502527	0.2127798	0.1026533	0.37056494
X26x5	0.10024844	0.06985617	0.09508667	0.053866945	0.010384326	0.045456097	0.039629206	1.31839505e-11	0.009512209	0.051483367	0.01939381	1.3142323e-11	0.122225404	0.10751043	0.275347
X26x6	0.14448479	0.039633866	0.039491285	0.026557919	1.2949382e-11	0.031183172	0.060213566	0.028164553	0.01882075	1.2921601e-11	0.014227286	0.029317593	0.22203566	0.13666609	0.20920348
X26x7	0.06987768	0.033582244	0.056031585	0.027495986	1.8050342e-11	0.038483065	0.06561261	0.047788393	1.8069114e-11	1.7931032e-11	0.019412119	0.028732408	0.21706164	0.11199513	0.28392717
X26x8	0.09580819	0.045081384	0.105399296	0.023845691	0.011116812	1.2105881e-11	0.03184348	0.017124888	0.08860403	0.02363119	1.2103204e-11	0.01929894	0.09399421	0.18110017	0.26315174
X26x9	0.054719247	0.045159042	0.059659284	0.0382961	0.010364719	0.009798684	0.15325902	0.2547484	0.036383566	7.854827e-12	7.878354e-12	0.021273952	0.07584584	0.12172791	0.118764244
X27x10	0.0919759	0.028492706	0.03181318	0.10618982	9.858226e-12	0.13727523	0.023207633	9.779999e-12	0.014930839	0.23961504	0.011757297	9.855219e-12	0.058155812	0.10441348	0.15217313
X27x11	0.036322445	1.5643063e-11	0.06778341	0.12700659	0.063707165	0.3027923	0.04850095	1.5646704e-11	1.5640737e-11	0.11431033	0.06278292	0.02659771	1.5522483e-11	0.1425387	0.0076574353
X27x13	0.48471868	2.1130266e-11	0.027659686	0.05412299	2.1095313e-11	0.038065784	0.052723903	0.048843335	0.022727303	2.096587e-11	2.102173e-11	2.1073516e-11	0.13295853	0.12351302	0.014666718
X27x14	0.09681753	0.03250594	0.011867526	0.04218353	0.006692172	0.019870166	0.27564073	0.32702285	0.019589007	7.2798165e-12	0.010601337	0.04396343	0.034179907	0.07567569	0.0033902125
X27x17	0.011398542	0.015252331	0.12002581	0.025628304	0.043359272	0.18699183	0.14789788	0.011172769	0.035764907	1.0195356e-11	1.0200957e-11	0.039594747	1.0138151e-11	0.35287598	0.010037658
X27x18	0.022793233	0.035946608	0.082860954	0.063729316	0.18465379	0.23786353	0.06178835	1.5751662e-11	1.5864518e-11	1.5821337e-11	0.011269364	1.5857803e-11	1.5829095e-11	0.2990949	1.5829548e-11
X27x3	0.043849334	0.02141054	0.04037125	0.039727792	0.0770802	0.28018138	0.01625846	1.6514184e-11	0.06011939	0.016065327	0.016278395	0.049247805	0.12304217	0.084330246	0.13203768
X27x4	0.021951424	0.00959783	0.040615447	0.15849829	1.3244644e-11	0.075463556	0.06688142	0.035779487	0.02328199	1.332324e-11	1.3274539e-11	0.024292681	0.16263577	0.1337386	0.24726346
X27x5	0.04488402	3.2700523e-11	0.030211182	0.04100901	3.2895076e-11	3.2766644e-11	0.046128888	3.278433e-11	0.048396472	0.14497486	3.275202e-11	3.273035e-11	0.20367697	0.1990509	0.24166769
X27x6	0.09064999	0.036729872	0.056110565	0.068000846	2.5222898e-11	0.056895025	2.5183867e-11	2.5200396e-11	2.5266332e-11	0.031398404	0.03385487	2.5254767e-11	0.24383138	0.065290734	0.3172383
X27x7	1.9340536e-11	0.054538276	1.9254005e-11	0.052369107	1.9263409e-11	1.9296394e-11	0.032513518	1.9185892e-11	0.044765852	1.9301769e-11	0.056041673	0.023350203	0.26315734	0.18199506	0.29126903
