	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X14x10	0.012091924	0.051580183	0.03762103	0.0199346	0.01522296	0.010283505	0.29531094	0.29535085	0.020435832	6.4803844e-12	6.5152727e-12	0.12512209	0.04768728	0.034501407	0.034857336
X14x11	0.07011006	0.11220022	0.06024886	0.045117132	0.005995417	0.013102164	0.05017237	9.0528115e-12	0.07443106	9.062019e-12	0.009621334	9.07449e-12	0.21061832	0.055252224	0.29313084
X14x12	0.06097003	0.05014395	0.047149673	0.018736284	0.011101146	1.04819955e-11	0.01453296	1.043096e-11	0.039658085	0.0278373	0.05460376	1.0485535e-11	0.31294093	0.017506981	0.3448189
X14x13	0.040483877	1.1451007e-11	1.1447535e-11	0.0765213	0.010706551	0.03165023	1.14026445e-11	1.1411064e-11	0.099222906	0.052601	1.1464622e-11	0.04010418	0.359304	0.01220641	0.27719954
X14x14	0.006612395	0.0072355606	0.07711658	0.084299296	0.016019238	9.745401e-12	9.743226e-12	9.691737e-12	0.09944262	0.03979373	0.019404689	0.019966353	0.32444197	0.008975637	0.29669204
X14x15	0.0073188823	0.043975655	0.09043438	0.063278675	0.030175917	0.13066551	1.0086197e-11	1.0029623e-11	0.29004046	1.0103987e-11	1.0105068e-11	0.07076785	0.09449062	0.13145733	0.047394734
X14x16	0.027409807	0.0539297	0.17999557	0.022281772	0.015962264	0.0817979	9.347995e-12	0.011462574	0.41606963	0.013197748	0.015612763	0.027903557	9.38621e-12	0.09202005	0.04235678
X14x17	0.009760273	0.37147522	0.11574963	0.08598533	0.021644734	0.04412768	0.04252951	1.3174462e-11	0.19004327	1.3183865e-11	1.32321315e-11	0.061503194	1.318321e-11	0.027283905	0.029897187
X14x18	0.014993643	0.100273974	0.07512081	0.028313205	0.01947567	0.012728199	0.25856096	0.25853118	0.032680277	5.6953847e-12	0.039927267	0.0971193	5.6893804e-12	0.044074472	0.018201083
X14x19	0.008615857	7.6296565e-12	0.031002203	0.03322912	0.0012458881	7.585749e-12	0.3443328	0.34488428	0.029118218	7.613739e-12	0.014349409	0.08625036	0.041895222	0.060207132	0.004869556
X14x2	0.019442875	0.03435503	0.030619364	0.1003858	0.024904786	0.08689803	1.0490151e-11	1.0509016e-11	0.020123346	0.06384527	0.030136855	0.08249532	0.12690903	0.10186924	0.27801505
X14x20	1.522772e-11	0.13113953	0.051755805	0.13367608	1.515661e-11	0.05743589	0.11218711	0.10005838	0.01903416	0.1036765	0.03316376	0.054786853	0.025914192	0.16723904	0.009932741
